dataset,method,accuracy,f1,precision,recall
banana,Baseline,98.61,98.62,98.68,98.61
banana,Baseline+CBAM,98.40,98.41,98.50,98.40
banana,Baseline+SAM,98.40,98.42,98.51,98.40
banana,Baseline+BAM,98.51,98.50,98.56,98.51
banana,Baseline+C2PSA,97.97,97.97,98.06,97.97
bean,Baseline,97.45,97.45,97.48,97.45
bean,Baseline+CBAM,97.92,97.92,97.95,97.92
bean,Baseline+SAM,97.14,97.14,97.17,97.14
bean,Baseline+BAM,97.61,97.61,97.65,97.61
bean,Baseline+C2PSA,96.99,96.98,97.11,96.99
blackgram,Baseline,99.21,99.21,99.23,99.21
blackgram,Baseline+CBAM,98.71,98.72,98.79,98.71
blackgram,Baseline+SAM,98.51,98.52,98.58,98.51
blackgram,Baseline+BAM,98.81,98.81,98.85,98.81
blackgram,Baseline+C2PSA,98.91,98.91,98.94,98.91
coconut,Baseline,99.10,99.09,99.13,99.10
coconut,Baseline+CBAM,99.20,99.20,99.22,99.20
coconut,Baseline+SAM,99.05,99.05,99.06,99.05
coconut,Baseline+BAM,98.90,98.90,98.93,98.90
coconut,Baseline+C2PSA,99.25,99.25,99.27,99.25
corn,Baseline,98.73,98.73,98.76,98.73
corn,Baseline+CBAM,98.52,98.52,98.54,98.52
corn,Baseline+SAM,98.60,98.59,98.61,98.60
corn,Baseline+BAM,98.55,98.54,98.57,98.55
corn,Baseline+C2PSA,98.65,98.65,98.66,98.65
guava,Baseline,66.34,65.83,68.57,66.34
guava,Baseline+CBAM,61.77,60.56,63.70,61.77
guava,Baseline+SAM,65.37,64.64,66.25,65.37
guava,Baseline+BAM,65.71,65.21,69.24,65.71
guava,Baseline+C2PSA,62.76,62.30,64.69,62.76
papaya,Baseline,83.23,83.15,85.68,83.23
papaya,Baseline+CBAM,84.71,84.52,87.49,84.71
papaya,Baseline+SAM,82.35,82.11,84.30,82.35
papaya,Baseline+BAM,84.71,84.50,88.10,84.71
papaya,Baseline+C2PSA,82.77,82.58,85.71,82.77
rice,Baseline,98.97,98.97,98.99,98.97
rice,Baseline+CBAM,98.44,98.44,98.47,98.44
rice,Baseline+SAM,98.67,98.66,98.69,98.67
rice,Baseline+BAM,98.55,98.55,98.56,98.55
rice,Baseline+C2PSA,98.82,98.82,98.86,98.82
sunflower,Baseline,91.21,91.21,91.53,91.21
sunflower,Baseline+CBAM,92.49,92.56,92.80,92.49
sunflower,Baseline+SAM,91.85,91.82,92.09,91.85
sunflower,Baseline+BAM,91.85,91.93,92.42,91.85
sunflower,Baseline+C2PSA,93.99,93.98,94.38,93.99